Sampling Year,Management Area(s),ADFG Species Code,Common Name," Genus, species", Specimen Count,Age Bin
1976,SSEI,110,"cod, Pacific",Gadus macrocephalus,8,No Age
1976,SSEI,120,"flounder, general",familyPleuronectidae,1,No Age
1976,SSEI,140,"rockfish, red",Sebastes,17,No Age
1976,SSEI,143,"rockfish, thornyhead",Sebastolobus,2,No Age
1976,SSEI,145,"rockfish, yelloweye",Sebastes ruberrimus,4,No Age
1976,SSEI,151,"rockfish, rougheye",Sebastes aleutianus,6,No Age
1976,SSEI,152,"rockfish, shortraker",Sebastes borealis,17,No Age
1976,SSEI,270,walleye pollock,Gadus chalcogrammus,12,No Age
1981,,710,sablefish,Anoplopoma fimbria,4,0-10
1981,,710,sablefish,Anoplopoma fimbria,1,20-Nov
1981,,710,sablefish,Anoplopoma fimbria,2,21-30
1982,,710,sablefish,Anoplopoma fimbria,23,0-10
1982,,710,sablefish,Anoplopoma fimbria,3,20-Nov
1982,,710,sablefish,Anoplopoma fimbria,2,21-30
1983,CSEO,710,sablefish,Anoplopoma fimbria,1,0-10
1983,MSAPE,710,sablefish,Anoplopoma fimbria,1,0-10
1983,SSEO,710,sablefish,Anoplopoma fimbria,1,0-10
1983,,110,"cod, Pacific",Gadus macrocephalus,2360,No Age
1983,,122,"sole, flathead",Hippoglossoides elassodon,150,No Age
1983,,145,"rockfish, yelloweye",Sebastes ruberrimus,98,No Age
1983,,157,"rockfish, silvergray",Sebastes brevispinis,1,No Age
1983,,167,"rockfish, blue",Sebastes mystinus,1,No Age
1983,,710,sablefish,Anoplopoma fimbria,28,0-10
1984,,100,"groundfish, general",Multiplefamilies,226,No Age
1984,,110,"cod, Pacific",Gadus macrocephalus,1965,No Age
1984,,129,"flounder, starry",Platichthys stellatus,5,No Age
1984,,135,"rockfish, greenstripe",Sebastes elongatus,1,No Age
1984,,137,"rockfish, bocaccio",Sebastes paucispinis,3,No Age
1984,,141,"perch, Pacific ocean",Sebastes alutus,2,No Age
1984,,142,"rockfish, black",Sebastes melanops,33,No Age
1984,,143,"rockfish, thornyhead",Sebastolobus,9,No Age
1984,,145,"rockfish, yelloweye",Sebastes ruberrimus,1675,No Age
1984,,146,"rockfish, canary",Sebastes pinniger,30,No Age
1984,,147,"rockfish, quillback",Sebastes maliger,120,No Age
1984,,148,"rockfish, tiger",Sebastes nigrocinctus,33,No Age
1984,,151,"rockfish, rougheye",Sebastes aleutianus,1,No Age
1984,,152,"rockfish, shortraker",Sebastes borealis,258,No Age
1984,,153,"rockfish, redbanded",Sebastes babcocki,3,No Age
1984,,154,"rockfish, dusky",Sebastes ciliatus,6,No Age
1984,,155,"rockfish, yellowtail",Sebastes flavidus,14,No Age
1984,,157,"rockfish, silvergray",Sebastes brevispinis,23,No Age
1984,,158,"rockfish, redstripe",Sebastes proriger,6,No Age
1984,,172,"rockfish, dusky",Sebastes variabilis,3,No Age
1984,,177,"rockfish, blackgill",Sebastes melanostomus,4,No Age
1984,,270,walleye pollock,Gadus chalcogrammus,547,No Age
1984,,710,sablefish,Anoplopoma fimbria,24,0-10
1984,,710,sablefish,Anoplopoma fimbria,2,20-Nov
1984,,710,sablefish,Anoplopoma fimbria,2,21-30
1984,,710,sablefish,Anoplopoma fimbria,1441,No Age
1985,,110,"cod, Pacific",Gadus macrocephalus,1965,No Age
1985,,129,"flounder, starry",Platichthys stellatus,50,No Age
1985,,130,lingcod,Ophiodon elongatus,1,No Age
1985,,139,"rockfish, other",Sebastes unspecified,46,No Age
1985,,142,"rockfish, black",Sebastes melanops,62,No Age
1985,,143,"rockfish, thornyhead",Sebastolobus,151,No Age
1985,,144,"rockfish, unspecified slope",Sebastes,50,No Age
1985,,145,"rockfish, yelloweye",Sebastes ruberrimus,1994,No Age
1985,,147,"rockfish, quillback",Sebastes maliger,122,No Age
1985,,148,"rockfish, tiger",Sebastes nigrocinctus,9,No Age
1985,,149,"rockfish, china",Sebastes nebulosus,1,No Age
1985,,150,"rockfish, rosethorn",Sebastes helvomaculatus,8,No Age
1985,,151,"rockfish, rougheye",Sebastes aleutianus,78,No Age
1985,,152,"rockfish, shortraker",Sebastes borealis,35,No Age
1985,,153,"rockfish, redbanded",Sebastes babcocki,93,No Age
1985,,154,"rockfish, dusky",Sebastes ciliatus,1,No Age
1985,,157,"rockfish, silvergray",Sebastes brevispinis,8,No Age
1985,,166,"rockfish, sharpchin",Sebastes zacentrus,2,No Age
1985,,270,walleye pollock,Gadus chalcogrammus,400,No Age
1985,,710,sablefish,Anoplopoma fimbria,20,0-10
1985,,710,sablefish,Anoplopoma fimbria,24,20-Nov
1985,,710,sablefish,Anoplopoma fimbria,2,21-30
1985,,710,sablefish,Anoplopoma fimbria,3214,No Age
1986,CSEO,710,sablefish,Anoplopoma fimbria,1,20-Nov
1986,,110,"cod, Pacific",Gadus macrocephalus,300,No Age
1986,,710,sablefish,Anoplopoma fimbria,8,0-10
1986,,710,sablefish,Anoplopoma fimbria,1,20-Nov
1986,,710,sablefish,Anoplopoma fimbria,1074,No Age
1987,,142,"rockfish, black",Sebastes melanops,25,No Age
1987,,154,"rockfish, dusky",Sebastes ciliatus,33,No Age
1987,,710,sablefish,Anoplopoma fimbria,584,No Age
1988,NSEI,710,sablefish,Anoplopoma fimbria,80,0-10
1988,NSEI,710,sablefish,Anoplopoma fimbria,132,20-Nov
1988,NSEI,710,sablefish,Anoplopoma fimbria,36,21-30
1988,NSEI,710,sablefish,Anoplopoma fimbria,23,31-40
1988,NSEI,710,sablefish,Anoplopoma fimbria,6,41-50
1988,NSEI,710,sablefish,Anoplopoma fimbria,5,51-60
1988,NSEI,710,sablefish,Anoplopoma fimbria,33,No Age
1988,SSEI,710,sablefish,Anoplopoma fimbria,241,0-10
1988,SSEI,710,sablefish,Anoplopoma fimbria,136,20-Nov
1988,SSEI,710,sablefish,Anoplopoma fimbria,28,21-30
1988,SSEI,710,sablefish,Anoplopoma fimbria,12,31-40
1988,SSEI,710,sablefish,Anoplopoma fimbria,2,41-50
1988,SSEI,710,sablefish,Anoplopoma fimbria,3,No Age
1988,,142,"rockfish, black",Sebastes melanops,30,No Age
